PlayerName,Position,Age,Season,LeftClub,JoinedClub,MarketValue,Fee,Injury_Index,Loan_Index,Matches_Played,Mins_played,90s_Played,Role_In_Prev_Club_Index,Starts,Goals_Against,Shots_on_Target_Against,Saves,Saves_Pct,Clean_Sheets,Clean_Sheets_Pct,Performance_Index,Missing_Stats?,club_left_rank,club_joined_rank,Delta_Club_Rank,Transfer_Success
pepe reina,Goalkeeper,39.0,22/23,lazio,villarreal,700000.0,0.0,0.0,0.0,15,1350.0,15,39.47368421052632,15,29,60,31,58.3,2,13.3,37.81708894795358,0,2,2,0,0
yann sommer,Goalkeeper,34.0,23/24,bayern munich,inter,5000000.0,6900000.0,0.0,0.0,29,2610.0,29,76.3157894736842,29,39,115,77,73.9,8,27.6,75.24577609723369,0,1,1,0,1
alex dominguez,Goalkeeper,25.0,23/24,ud las palmas,toulouse,300000.0,1100000.0,0.0,0.0,18,1674.1,19,50.0,19,24,74,51,73.0,6,38.7,71.80317251620072,1,5,4,0,0
andre onana,Goalkeeper,27.0,23/24,inter,man utd,35000000.0,50200000.0,0.0,0.0,24,2160.0,24,63.1578947368421,24,24,83,61,73.5,8,33.3,70.06325819027239,0,1,1,1,0
marco sportiello,Goalkeeper,31.0,23/24,atalanta,ac milan,1500000.0,0.0,0.0,0.0,15,1339.0,15,38.1578947368421,14,21,64,43,68.8,2,14.3,44.93959607942011,0,2,1,-1,1
mark flekken,Goalkeeper,30.0,23/24,freiburg,brentford,10000000.0,13000000.0,0.0,0.0,34,3060.0,34,89.4736842105263,34,44,150,106,74.0,13,38.2,95.74496660586924,0,3,5,1,1
matej kovar,Goalkeeper,23.0,23/24,man utd,leverkusen,1800000.0,5000000.0,0.0,0.0,14,1260.0,14,36.84210526315789,14,22,66,45,66.7,3,20.6,50.184232736909166,1,1,1,1,1
ruben blanco,Goalkeeper,28.0,23/24,celta vigo,marseille,4000000.0,1500000.0,0.0,0.3135,6,495.0,6,15.789473684210526,6,6,19,15,68.4,0,0.0,17.857035560146834,0,3,1,-2,0
dean henderson,Goalkeeper,26.0,23/24,man utd,crystal palace,18000000.0,17500000.0,0.0,0.0,18,1620.0,18,47.368421052631575,18,31,85,52,65.9,6,33.3,67.09274249388884,0,1,3,1,1
matt turner,Goalkeeper,29.0,23/24,arsenal,nott'm forest,8000000.0,8150000.0,0.0,0.0,23,2087.3529411764707,23,60.526315789473685,23,34,104,71,66.4,6,23.2,64.31406946279323,1,1,5,2,1
josep martinez,Goalkeeper,25.0,23/24,leipzig,genoa,3500000.0,3500000.0,0.0,0.0,23,2075.0,23,60.526315789473685,23,34,109,76,77.6,5,37.4,83.8371222064476,1,1,4,3,1
robert sanchez,Goalkeeper,25.0,23/24,brighton,chelsea,22000000.0,23000000.0,0.0,0.0,23,2070.0,23,60.526315789473685,23,30,74,46,66.2,6,26.1,57.36223926466007,0,3,1,-2,1
