PlayerName,Position,Age,Season_x,LeftClub,JoinedClub,MarketValue,Fee,Injury_Index,Loan_Index,Matches_Played,Mins_played,90s_Played,Role_In_Prev_Club_Index,Chance_Creation_Index,Attacking_Contributions,Ball_Progression,Mistake_Rate,Midfield_Control,Defensive_Actions,Possession_Control,Performance_Index,Missing_Stats?,club_left_rank,club_joined_rank,Delta_Club_Rank,Transfer_Success,Role_Cohort
youssef maleh,Central Midfield,23.0,23/24,fiorentina,lecce,4500000,5000000.0,0.2372421052631579,0.3801,24,971.0,10.8,39.37455579246624,21.0,1.0,42.0,0.0695067264573991,22.764976958525345,51.0,458.0,27.105141788815125,0,3,5,-2,0,Central Midfield
tom krau,Central Midfield,21.0,23/24,leipzig,mainz,7000000,5000000.0,0.0,0.0,32,2514.0,27.9,70.16702203269368,33.0,2.0,121.0,0.05,56.3302752293578,187.0,1190.0,51.075416841924685,0,1,3,-2,0,Central Midfield
tom davies,Central Midfield,24.0,23/24,everton,sheffield utd,9000000,0.0,0.0,0.0,19,538.0,6.0,27.452025586353948,5.0,0.0,32.0,0.0679611650485436,19.627659574468083,29.0,356.0,22.93969288345512,0,3,5,-2,0,Central Midfield
anton stach,Defensive Midfield,23.0,23/24,mainz,hoffenheim,15000000,12000000.0,0.0,0.0,30,2070.0,23.0,61.69154228855722,60.5,5.0,143.0,0.0520477815699658,52.96442687747036,96.0,1263.0,47.59120206321217,0,3,3,0,1,Defensive Midfield
leandro paredes,Defensive Midfield,28.0,23/24,paris sg,roma,12000000,5650000.0,0.0,0.0,28,1029.0,11.4,44.88272921108743,48.0,2.0,90.0,0.009544008483563,74.0677966101695,48.0,1300.0,44.1668263552183,0,1,1,0,0,Defensive Midfield
manuel locatelli,Defensive Midfield,24.0,23/24,sassuolo,juventus,30000000,36400000.0,0.4546986270022883,0.0597,32,2446.0,27.2,69.29637526652454,50.0,2.0,159.0,0.0287253141831238,101.45631067961163,136.0,2053.0,58.08062528803104,0,3,1,2,1,Defensive Midfield
manu morlanes,Central Midfield,23.0,23/24,villarreal,rcd mallorca,4000000,2500000.0,0.0,0.0,16,864.0,9.6,28.358208955223883,7.5,1.0,43.0,0.0275482093663911,29.25170068027211,44.0,423.0,30.62750510939581,0,2,4,-2,0,Central Midfield
mahmoud dahoud,Central Midfield,26.0,23/24,dortmund,brighton,12000000,0.0,0.0,0.0,9,337.0,3.7,12.686567164179106,7.0,0.0,30.0,0.0331125827814569,23.66863905325444,24.0,396.0,26.959016719456013,0,1,3,-2,0,Central Midfield
kevin volland,Attacking Midfield,30.0,23/24,monaco,union berlin,8000000,4000000.0,0.0,0.0,17,639.0,7.1,26.439232409381667,23.0,5.0,37.0,0.097378277153558,12.951541850220265,18.0,234.0,20.870144281530845,0,2,5,-3,0,Attacking Midfield
angelo stiller,Defensive Midfield,21.0,23/24,hoffenheim,stuttgart,5000000,5500000.0,0.0,0.0,20,704.0,7.8,30.88130774697939,11.0,2.0,38.0,0.055793991416309,70.78947368421052,48.0,522.0,28.70407283796576,0,3,3,0,1,Defensive Midfield
angelo fulgini,Attacking Midfield,25.0,23/24,mainz,lens,9000000,7200000.0,0.0,0.0,33,1383.0,15.4,55.81023454157784,66.5,3.0,95.0,0.0521739130434782,100.7079646017699,49.0,1025.0,39.31033245776988,0,3,5,-2,0,Attacking Midfield
