PlayerName,Position,Age,Season,LeftClub,JoinedClub,MarketValue,Fee,Loan_Index,Injury_Index,Performance_Index,Role_In_Prev_Club_Index,Delta_Club_Rank,Transfer_Success
joshua zirkzee,Centre-Forward,23.0,22/23,bayern munich,bologna,11000000.0,27500000.0,0.3988,0.166703320802005,12.01090206092798,35.52926095165599,2,1
josip brekalo,Left Winger,24.0,22/23,wolfsburg,fiorentina,7500000.0,1700000.0,0.1932,0.3550900928792569,1.7642899689867129,0.2645502645502646,0,0
mathys tel,Centre-Forward,17.0,22/23,rennes jugend,bayern munich,2000000.0,20000000.0,0.0,0.0,0.6154284860682844,0.7936507936507936,-1,0
georginio rutter,Centre-Forward,20.0,22/23,hoffenheim,leeds united,16000000.0,40500000.0,0.0,0.0,27.511256448622653,40.78251183514341,2,1
mathias pereira lage,Left Winger,28.0,22/23,angers,brest,2500000.0,0.0,0.0,0.0,11.196900769560932,42.02543967005693,0,0
timo werner,Left Winger,26.0,22/23,chelsea,leipzig,35000000.0,20000000.0,0.0,0.0,9.245317079594278,38.65218602060708,0,0
takumi minamino,Left Winger,27.0,22/23,liverpool,monaco,12000000.0,15000000.0,0.3011,0.0575473684210526,3.4785704518418954,4.093567251461988,1,1
tairyk arconte,Centre-Forward,19.0,22/23,ajaccio,brest,400000.0,0.0,0.0,0.0,0.7254598221884608,25.329378529551345,-1,0
gabriel jesus,Centre-Forward,25.0,22/23,man city,arsenal,50000000.0,52200000.0,0.0,0.0,40.375013026645085,55.277081592871056,0,0
gaetan laborde,Centre-Forward,28.0,22/23,rennes jugend,nice,18000000.0,15000000.0,0.0,0.0,56.74443153809176,92.47424115845168,1,1
arkadiusz milik,Centre-Forward,28.0,22/23,napoli,marseille,16000000.0,9700000.0,0.3249,0.6026369094649455,21.250819118725747,40.50403787245892,0,1
marlos moreno,Left Winger,25.0,22/23,man city,troyes,900000.0,1650000.0,0.0,0.0,29.15662495980433,48.03660957011572,4,0
martin braithwaite,Centre-Forward,31.0,22/23,barcelona,espanyol,6000000.0,0.0,0.0,0.0,5.210510664399024,7.386521860206072,2,0
jeremie boga,Left Winger,25.0,22/23,sassuolo,atalanta,19000000.0,22000000.0,0.1761,0.4337698775239986,18.77688651106728,40.7685881370092,-1,1
robert lewandowski,Centre-Forward,33.0,22/23,bayern munich,barcelona,45000000.0,45000000.0,0.0,0.0,84.60085452015652,87.99081035923142,0,1
florian niederlechner,Centre-Forward,31.0,22/23,augsburg,hertha bsc,2200000.0,800000.0,0.0,0.0,18.123723427039884,34.1687552213868,0,0
francesco caputo,Centre-Forward,34.0,22/23,sassuolo,sampdoria,2500000.0,4000000.0,0.3949,0.1752369218500797,39.12692961356429,86.6750208855472,0,1
